product_id,title,authors,original_price,current_price,discount,discount_percent (%),quantity,category,n_review,avg_rating,pages,manufacturer
1404169,Thư Gửi Từ Miến Điện,Aung San Suu Kyi,92000,73600,18400,0.2,4,Tiểu Thuyết,1,5.00,248,Unknown
201562338,"Không Sao Mà, Chúng Ta Rồi Sẽ Ổn",Mai Thanh Hạ,98000,79000,19000,0.193877551,229,Thơ,9,5.00,200,Nhà Xuất Bản Văn Học
200997680,Sách - J. Krishnamurti Đôi Điều Cần Suy Ngẫm - First News,J. Krishnamurti,188000,150400,37600,0.2,35,Sách tư duy - Kỹ năng sống,4,5.00,368,NXB Dân Trí
196849395,"Gửi Em, Người Bất Tử - Tập 2 (Tái Bản 2022)",Yoshitoki Oima,30000,26000,4000,0.1333333333,251,Unknown,40,5.00,52,NXB Trẻ
100384412,Vô Cùng Tàn Nhẫn Vô Cùng Yêu Thương (Tái Bản),Sara Imas,189000,122000,67000,0.3544973545,917,Sách Làm Cha Mẹ,124,4.80,516,Nhà Xuất Bản Dân Trí
49249526,Thiết Kế Cuộc Đời Thịnh Vượng - Design a Prosperous Life,Thái Phạm,299000,299000,0,0,15571,Sách tư duy - Kỹ năng sống,2808,5.00,352,Nhà Xuất Bản Thế Giới
196849400,"Gửi Em, Người Bất Tử - Tập 5 (Tái Bản 2022)",Yoshitoki Oima,30000,26000,4000,0.1333333333,222,Unknown,26,5.00,147,NXB Trẻ
27962195,Ehon Thông Minh Cho Trẻ Mẫu Giáo - Kẹt Xe Lâu Quá,Ohmura Tomoko,52000,44000,8000,0.1538461538,1,Truyện tranh Ehon,0,0.00,38,Nhà Xuất Bản Thế Giới
545625,Làm Quen Thống Kê Học Qua Biếm Họa,Grady Klein & Yoram Bauman,89000,48950,40050,0.45,1198,Sách kinh tế học,9,4.60,225,Unknown
9490657,Hệ thống giao dịch Ichimoku Charts - Ichimoku Kinko Clouds (Phiên bản sách năm 2018),Nicole Elliott,330000,330000,0,0,8401,"Sách tài chính, tiền tệ",900,4.60,376,Nhà Xuất Bản Thế Giới
3152291,Hướng Dẫn Giao Dịch Theo Sóng Elliott,Unknown,369000,369000,0,0,4497,"Sách tài chính, tiền tệ",547,4.80,378,Nhà Xuất Bản Thế Giới
160488880,OKR - Từ Chiến Lược Mục Tiêu Đến Kết Quả Then Chốt,Masaru Amono,129000,92000,37000,0.2868217054,132,"Sách quản trị, lãnh đạo",13,4.80,204,Nhà Xuất Bản Công Thương
16391543,Cha Voi - Dạy Con Nên Người Ở Thời Đại Số,Trương Nguyện Thành,150000,100500,49500,0.33,4480,Sách Làm Cha Mẹ,257,5.00,332,Nhà Xuất Bản Dân Trí
204766262,Thuật Thao Túng - Góc Tối Ẩn Sau Mỗi Câu Nói (AZ),Wladislaw Jachtchenko,139000,139000,0,0,566,Sách tư duy - Kỹ năng sống,0,0.00,243,Nhà Xuất Bản Thế Giới
15499818,Bộ sách Thay thói quen – Đổi vận mệnh,Alan Phan,158000,158000,0,0,1585,Sách tư duy - Kỹ năng sống,210,4.80,385,Nhà Xuất Bản Thế Giới
10694714,"Làm Chủ Tư Duy, Thay Đổi Vận Mệnh (Tái Bản 2019)",Adam Khoo,165000,131700,33300,0.2018181818,1,Sách kỹ năng làm việc,0,0.00,137,Nhà Xuất Bản Phụ Nữ
204771676,Ngôi nhà trông về phía biển & chuyện ngày sau,Mizuki Harada,265000,211000,54000,0.2037735849,24,Truyện ngắn - Tản văn - Tạp Văn,2,5.00,668,Nhà Xuất Bản Văn Học
26168610,Sherlock Holmes (Boxset Trọn Bộ 3 Tập),Sir Arthur Conan Doyle,345000,246000,99000,0.2869565217,2908,Truyện trinh thám,795,4.70,2004,Nhà Xuất Bản Văn Học
162205263,Những Đồ Vật Có Linh Hồn,Tống Ngọc,149000,105000,44000,0.2953020134,1310,Truyện kinh dị,407,4.70,304,Nhà Xuất Bản Dân Trí
874800,Ông Già Và Biển Cả,Unknown,42000,30000,12000,0.2857142857,173,Tác phẩm kinh điển,22,4.80,143,Unknown
76541999,Tăng tốc luyện đề thi Đánh giá năng lực (theo cấu trúc đề thi của Đại học Quốc gia TP. Hồ Chí Minh),Minh Tâm,225000,180000,45000,0.2,1843,Sách Luyện Thi Đại Học - Cao Đẳng,465,5.00,460,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội
55064570,Người Truyền Ký Ức (Giải Thưởng Boston Globe-Horn Book)(Tái Bản 2020),Lois Lowry,80000,48000,32000,0.4,58,Tiểu Thuyết,9,4.70,248,Nhà Xuất Bản Hội Nhà Văn
6010325,Dưới Bóng Những Cô Gái Đương Hoa,Marcel Proust,179000,98450,80550,0.45,992,Tiểu Thuyết,63,4.70,600,Unknown
155115301,"Bộ ""Chuyện xóm gà"" 2",Christian Jolibois,348000,220001,127999,0.3678132184,432,Truyện tranh thiếu nhi,58,5.00,258,Nhà Xuất Bản Hà Nội
186286174,Trại Hoa Vàng (Tái Bản 2022),Nguyễn Nhật Ánh,50000,35600,14400,0.288,130,Truyện ngắn - Tản văn - Tạp Văn,13,4.70,292,NXB Trẻ
121372698,NGÀI CÓC ĐI GẶP BÁC SĨ TÂM LÝ ( BÌA CỨNG),Unknown,219000,155000,64000,0.2922374429,1576,Sách tư duy - Kỹ năng sống,308,5.00,168,Nhà Xuất Bản Thanh Niên
39228816,Kỹ Thuật Giao Dịch Để Kiếm Tiền Hàng Ngày Trên Thị Trường Chứng Khoán – Day Trade For A Living,Andrew Aziz,298000,298000,0,0,6721,"Sách tài chính, tiền tệ",919,4.80,264,Nhà Xuất Bản Thế Giới
186578993,Đu Đưa Trên Ngọn Cây Bàng,Nguyễn Hoàng Diệu Thủy,118000,70800,47200,0.4,169,Truyện dài,13,5.00,248,Nhà Xuất Bản Phụ Nữ
22438813,Mật Mã Thần Số Học,Glynis McCants,98000,98000,0,0,2,Sách Chiêm Tinh - Horoscope,0,0.00,339,Nhà Xuất Bản Hồng Đức
48905507,Don Quixote - Nhà Quý Tộc Tài Ba Xứ Mancha Tập 2 (Tái Bản),Miguel De Cervantes,155000,123000,32000,0.2064516129,708,Tác phẩm kinh điển,127,4.80,628,Nhà Xuất Bản Văn Học
201158670,Sách - Yêu mình đủ bạn có cả thế giới,Nguyễn Hoàng Anh,238000,228000,10000,0.04201680672,79,Sách nghệ thuật sống đẹp,3,5.00,350,Nhà Xuất Bản Thanh Niên
205540675,Dùng Tâm Lý Học Đọc Vị Người Khác,Tống Phi,139000,103000,36000,0.2589928058,12,Sách tư duy - Kỹ năng sống,1,5.00,328,Nhà Xuất Bản Thế Giới
100958526,Nhân Tố Enzyme - Thực Hành (Tái Bản 2021),Hiromi Shinya,109000,76300,32700,0.3,917,Unknown,143,4.70,291,Nhà Xuất Bản Thế Giới
